time,coin,dir,px,sz,ntl,fee,closedPnl
18/07/2024 - 20:17:19,ETH,Close Long,3428.11887831,115.29,395227.82548035996,118.568329,3583.2642509999996
18/07/2024 - 20:20:09,BTC,Open Long,63868.27679111,9.88453,631307.8979900306,189.392351,-189.392351
18/07/2024 - 20:21:29,BTC,Open Long,63959.91960068,8.41537,538246.3886099744,161.473894,-161.473894
18/07/2024 - 20:24:28,ETH,Open Long,3433.00187458,62.7286,215347.40138977897,64.604207,-64.604207
18/07/2024 - 20:28:52,BTC,Close Long,63932.15653747,18.2999,1169952.0714200474,350.985591,47.15686900000003
18/07/2024 - 20:34:31,BTC,Open Short,63863.90226135,8.10355,517524.3251699628,155.257274,-155.257274
18/07/2024 - 20:37:06,ETH,Close Long,3417.95876889,62.7286,214403.76843019327,64.321112,-1007.8364819999999
18/07/2024 - 20:39:13,BTC,Open Short,63739.47219755,4.62819,294998.38782997895,88.499505,-88.499505
18/07/2024 - 20:39:57,BTC,Close Short,63795.31995015,9.5488,609168.7511399923,182.750614,39.54592599999998
18/07/2024 - 20:42:03,BTC,Open Short,63709.7100478,6.8831,438520.30523001216,131.556072,-131.556072
18/07/2024 - 21:21:37,WLD,Open Short,2.80857402,75139.3,211034.285860986,63.310271,-63.310271
18/07/2024 - 21:23:41,BTC,Close Short,63500,0.90353,57374.155000000006,2.868707,217.682966
18/07/2024 - 21:23:41,BTC,Close Short,63500,0.60637,38504.494999999995,1.925224,146.089693
18/07/2024 - 21:25:37,BTC,Close Short,63469,1.5099,95831.8431,28.74955,386.62394
18/07/2024 - 21:29:10,WLD,Close Short,2.8001,126.1,353.09261,0.017654,1.050413
18/07/2024 - 21:29:11,WLD,Close Short,2.8001,2857,7999.8857,0.399994,23.798796
18/07/2024 - 21:29:12,WLD,Close Short,2.8001,221.2,619.38212,0.030969,1.842595
18/07/2024 - 21:29:13,WLD,Close Short,2.8001,17.2,48.161719999999995,0.002408,0.14327600000000001
18/07/2024 - 21:29:13,WLD,Close Short,2.8001,353,988.4353,0.049421,2.940489
18/07/2024 - 21:29:13,WLD,Close Short,2.8001,1980.6,5545.87806,0.277293,16.498389
18/07/2024 - 21:29:15,WLD,Close Short,2.8001,5.2,14.56052,0.000728,0.043316
18/07/2024 - 21:32:23,WLD,Close Short (Price Improved),2.7732,3077.4,8534.24568,0.426712,108.42092600000001
18/07/2024 - 21:32:24,WLD,Close Short,2.7732,172.3,477.82236000000006,0.023891,6.07036
18/07/2024 - 21:32:24,WLD,Close Short,2.7732,225.3,624.80196,0.03124,7.937621
18/07/2024 - 21:32:24,WLD,Close Short,2.7732,2085.3,5782.953960000001,0.289147,73.467914
18/07/2024 - 21:32:50,WLD,Close Short,2.7578,1959.9,5405.0122200000005,0.27025,99.233873
18/07/2024 - 21:32:51,WLD,Close Short,2.7578,1813.2,5000.44296,0.250022,91.806142
18/07/2024 - 21:32:52,WLD,Close Short,2.7578,1787.2,4928.74016,0.246437,90.489707
18/07/2024 - 21:40:10,BTC,Close Short,63713.85028895,7.04624,448943.0804600111,134.682912,78.46381200000002
18/07/2024 - 21:41:04,WLD,Close Short,2.76234063,58458.4,161482.01348479203,48.444593,2654.050405
18/07/2024 - 21:47:57,BTC,Open Short,63668.59318505,6.58904,419514.9072400218,125.854457,-125.854457
18/07/2024 - 22:00:18,WLD,Open Short,2.69142902,70087,188634.18572474,56.59024,-56.59024
18/07/2024 - 22:32:48,BTC,Close Short,64001.35986881,6.58904,421707.52022998384,126.512238,-2319.739228
