Time,Coin,Direction,Price,Size,Notional,Fee,Closed PnL
03/09/2024 - 08:00:41,ETH,Close Long,2536.3,0.8442,2141.14446,0,-11.371374
03/09/2024 - 08:00:41,ETH,Close Long,2536.3,18.0392,45752.822960000005,0,-242.988024
03/09/2024 - 08:00:41,ETH,Close Long,2536.3,6.2362,15816.874060000002,0,-84.001614
03/09/2024 - 08:00:41,ETH,Close Long,2536.3,1.326,3363.1338000000005,0,-17.86122
03/09/2024 - 08:00:42,ETH,Close Long,2536.3,0.1152,292.18176,0,-1.551744
03/09/2024 - 08:00:43,ETH,Close Long,2536.3,1.1281,2861.2000300000004,0,-15.195507
03/09/2024 - 08:00:43,ETH,Close Long,2536.3,1.0512,2666.15856,0,-14.159664
03/09/2024 - 08:00:43,ETH,Close Long,2536.3,20.5858,52211.764540000004,0,-277.290726
03/09/2024 - 08:00:43,ETH,Close Long,2536.3,20.5858,52211.764540000004,0,-277.290726
03/09/2024 - 08:00:43,ETH,Close Long,2536.3,0.9647,2446.76861,0,-12.994509
03/09/2024 - 08:00:44,ETH,Close Long,2536.3,1.0041,2546.6988300000003,0,-13.525227
03/09/2024 - 08:00:44,ETH,Close Long,2536.3,1.0262,2602.75106,0,-13.822914
03/09/2024 - 08:00:44,ETH,Close Long,2536.3,0.9838,2495.21194,0,-13.251786
03/09/2024 - 08:00:45,ETH,Close Long,2536.3,0.9456,2398.32528,0,-12.737232
03/09/2024 - 08:00:45,ETH,Close Long,2536.3,0.9109,2310.3156700000004,0,-12.269823
03/09/2024 - 08:00:45,ETH,Close Long,2536.3,0.9442,2394.77446,0,-12.718374
03/09/2024 - 08:00:45,ETH,Close Long,2536.3,0.9909,2513.2196700000004,0,-13.347423
03/09/2024 - 08:00:46,ETH,Close Long,2536.3,1.8893,4791.831590000001,0,-25.448871
03/09/2024 - 08:00:47,ETH,Close Long,2536.3,1.0664,2704.71032,0,-14.364408
03/09/2024 - 08:00:47,ETH,Close Long,2536.3,0.982,2490.6466,0,-13.22754
03/09/2024 - 08:00:47,ETH,Close Long,2536.3,2.4818,6294.5893399999995,0,-33.429846
03/09/2024 - 08:00:47,ETH,Close Long,2536.3,0.869,2204.0447,0,-11.70543
03/09/2024 - 08:00:48,ETH,Close Long,2536.3,1.2915,3275.6314500000003,0,-17.396505
03/09/2024 - 08:00:48,ETH,Close Long,2536.3,0.7379,1871.5357700000002,0,-9.939513
03/09/2024 - 08:00:48,ETH,Close Long,2536.3,0.7412,1879.9055600000002,0,-9.983964
03/09/2024 - 08:00:48,ETH,Close Long,2536.3,0.902,2287.7426,0,-12.14994
03/09/2024 - 08:00:49,ETH,Close Long,2536.3,0.9436,2393.25268,0,-12.710292
03/09/2024 - 08:00:49,ETH,Close Long,2536.3,1.0087,2558.36581,0,-13.587189
03/09/2024 - 08:00:49,ETH,Close Long,2536.3,0.989,2508.4007,0,-13.32183
03/09/2024 - 08:00:50,ETH,Close Long,2536.3,1.8956,4807.810280000001,0,-25.533732
03/09/2024 - 08:00:50,ETH,Close Long,2536.3,1.92,4869.696,0,-25.8624
03/09/2024 - 08:00:51,ETH,Close Long,2536.3,1.004,2546.4452,0,-13.52388
03/09/2024 - 08:00:51,ETH,Close Long,2536.3,0.9811,2488.36393,0,-13.215417
03/09/2024 - 08:00:51,ETH,Close Long,2536.3,2.9749,7545.23887,0,-40.071903
03/09/2024 - 08:00:51,ETH,Close Long,2536.3,4.4434,11269.79542,0,-59.852598
03/09/2024 - 08:00:52,ETH,Close Long,2536.3,1.2794,3244.9422200000004,0,-17.233518
03/09/2024 - 08:00:52,ETH,Close Long,2536.3,0.2773,703.31599,0,-3.735231
03/09/2024 - 08:00:52,ETH,Close Long,2536.3,2.5444,6453.361720000001,0,-34.273068
03/09/2024 - 08:00:52,ETH,Close Long,2536.3,0.4313,1093.9061900000002,0,-5.809611
03/09/2024 - 08:00:53,ETH,Close Long,2536.3,1.0754,2727.5370199999998,0,-14.485638
03/09/2024 - 08:00:53,ETH,Close Long,2536.3,1.0977,2784.09651,0,-14.786019
03/09/2024 - 08:00:53,ETH,Close Long,2536.3,1.5026,3811.0443800000003,0,-20.240022
03/09/2024 - 08:06:19,ETH,Close Long,2534.4,40.6778,103093.81632,25.77345,-650.9912360000001
03/09/2024 - 08:06:25,ETH,Close Long,2534.28825305,40.6778,103089.2706999173,25.772312,-655.5357180000001
03/09/2024 - 08:06:30,ETH,Close Long,2534.12791498,40.6778,103082.74849997343,25.770684,-662.05629
03/09/2024 - 08:06:48,ETH,Close Long,2534.0652128,28.3176,71758.64506998529,17.939657,-462.661539
03/09/2024 - 08:07:00,ETH,Close Long,2534.97382921,40.6778,103117.15842983854,25.779283,-627.654959
03/09/2024 - 08:07:41,ETH,Close Long,2533.17079675,440.7225,1116425.366470652,279.106332,-7594.748687
03/09/2024 - 08:08:02,ETH,Close Long,2532.13668291,46.2128,117017.12609998326,29.254277,-844.139233
03/09/2024 - 20:21:26,ETH,Close Long,2444.90680195,120.1994,293876.3306503088,73.469073,-1612.405797
04/09/2024 - 04:58:13,ETH,Close Long,2442.00362076,244.4432,596931.1794701609,149.232781,-1451.229967
04/09/2024 - 05:24:56,ETH,Close Long,2413.05658948,247.5849,597436.3744007469,149.35908,-7911.990089
04/09/2024 - 06:23:08,ETH,Close Long,2425.13573658,616.1697,1494295.1592677776,373.57377,-61.95421100000004
